[Fri Aug 22 08:20:54.305777 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP Notice:  Undefined index: id in /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/UnitOfWork.php on line 2538, referer: http://nfce/
[Fri Aug 22 08:20:54.305856 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP Stack trace:, referer: http://nfce/
[Fri Aug 22 08:20:54.305892 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   1. {main}() /var/www/meunfce/public/index.php:0, referer: http://nfce/
[Fri Aug 22 08:20:54.305909 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   2. Zend\\Mvc\\Application->run() /var/www/meunfce/public/index.php:12, referer: http://nfce/
[Fri Aug 22 08:20:54.305926 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   3. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:309, referer: http://nfce/
[Fri Aug 22 08:20:54.305942 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://nfce/
[Fri Aug 22 08:20:54.305969 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   5. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:20:54.305979 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:20:54.305989 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   7. Zend\\Mvc\\Controller\\AbstractController->dispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/DispatchListener.php:114, referer: http://nfce/
[Fri Aug 22 08:20:54.305999 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   8. Zend\\EventManager\\EventManager->trigger() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractController.php:117, referer: http://nfce/
[Fri Aug 22 08:20:54.306008 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP   9. Zend\\EventManager\\EventManager->triggerListeners() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://nfce/
[Fri Aug 22 08:20:54.306017 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  10. call_user_func() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:20:54.306027 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  11. Zend\\Mvc\\Controller\\AbstractActionController->onDispatch() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://nfce/
[Fri Aug 22 08:20:54.306037 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  12. DsmCommon\\Controller\\CrudController->getAllAction() /var/www/meunfce/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractActionController.php:83, referer: http://nfce/
[Fri Aug 22 08:20:54.306047 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  13. Doctrine\\ORM\\AbstractQuery->getResult() /var/www/meunfce/module/DsmCommon/src/DsmCommon/Controller/CrudController.php:78, referer: http://nfce/
[Fri Aug 22 08:20:54.306056 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  14. Doctrine\\ORM\\AbstractQuery->execute() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:542, referer: http://nfce/
[Fri Aug 22 08:20:54.306067 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  15. Doctrine\\ORM\\Internal\\Hydration\\AbstractHydrator->hydrateAll() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/AbstractQuery.php:751, referer: http://nfce/
[Fri Aug 22 08:20:54.306077 2014] [:error] [pid 2339] [client 127.0.0.1:42484] PHP  16. Doctrine\\ORM\\Internal\\Hydration\\ObjectHydrator->hydrateAllData() /var/www/meunfce/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/AbstractHydrator.php:111, referer: http://nfce/
